gene,Chromosome_name,Strand,Description,Cluster,mESCs_pbulk_Rlog_rep1,mESCs_pbulk_Rlog_rep2,mESCs_pbulk_Rlog_rep3,PGNs_pbulk_Rlog_rep1,PGNs_pbulk_Rlog_rep2,PGNs_pbulk_Rlog_rep3,DNs_pbulk_Rlog_rep1,DNs_pbulk_Rlog_rep2,DNs_pbulk_Rlog_rep3,OLGs_pbulk_Rlog_rep1,OLGs_pbulk_Rlog_rep2,OLGs_pbulk_Rlog_rep3,OLGs_vs_mESCs_LogFC,OLGs_vs_mESCs_pvalue,OLGs_vs_mESCs_padj,DNs_vs_mESCs_LogFC,DNs_vs_mESCs_pvalue,DNs_vs_mESCs_padj,PGNs_vs_mESCs_LogFC,PGNs_vs_mESCs_pvalue,PGNs_vs_mESCs_padj,DNs_vs_OLGs_LogFC,DNs_vs_OLGs_pvalue,DNs_vs_OLGs_padj,PGNs_vs_OLGs_LogFC,PGNs_vs_OLGs_pvalue,PGNs_vs_OLGs_padj,DNs_vs_PGNs_LogFC,DNs_vs_PGNs_pvalue,DNs_vs_PGNs_padj,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,      
Atf4,15,1.0,activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096]      ,7,7.99470607,8.308354785,8.191469941,7.887819529,7.827811688,7.865321082,8.606573828,8.32205133,8.317167337999999,7.582252027999999,8.011594159,7.789318979,0.515735295,0.023133752,0.043515646,nan,nan,nan,0.4219402,0.015874188,0.025912928999999998,-0.857386823,0.000318373,0.0018988420000000002,nan,nan,nan,0.763591728,5.3299999999999995e-05,0.000454775,nan,nan,nan,nan,nan,nan,nan,nan,      
Bach1,16,1.0,BTB and CNC homology 1  basic leucine zipper transcription factor 1 [Source:MGI Symbol;Acc:MGI:894680]     ,5,5.712691798,5.901353147999999,5.6231200910000005,3.899098074,2.8465494239999996,3.6701324160000004,4.806497405,5.091338219,5.069726603,6.331280116,6.421097712000001,5.7353500639999995,nan,nan,nan,1.033276316,0.00350315,0.006563425,3.19408145,1.0200000000000001e-10,3.57e-10,1.625881036,0.000127898,0.00084804,3.78668617,4.54e-12,8.73e-11,2.160805134,8.05e-05,0.000648404,nan, basic leucine zipper transcription factor 1 [Source:MGI Symbol;Acc:MGI:894680],nan,nan,nan,nan,nan,nan,  basic leucine zipper transcription factor 1 [Source:MGI Symbol;Acc:MGI:894680]     
Bach2,4,1.0,BTB and CNC homology  basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]     ,4,1.671292997,4.609707257,2.9888832539999997,4.822204492,4.671378498999999,4.423737256,4.064819287,4.070452992,4.291850166000001,4.400578142,5.664944072000001,6.058859207,-2.473247711,0.0075523280000000005,0.015685155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679],nan,nan,nan,nan,nan,nan,  basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]     
Bcl6,16,-1.0,B cell leukemia/lymphoma 6 [Source:MGI Symbol;Acc:MGI:107187]      ,6,2.172741256,2.3240484880000003,1.655367719,5.610373453999999,5.996367941,6.262582005,2.428036129,2.5726555490000003,2.98756861,5.167273478,4.7912623519999995,4.344661098,-4.066393819,8.7e-13,5.31e-12,nan,nan,nan,-5.522582292999999,3.0699999999999994e-36,3.62e-35,3.1567022239999996,0.000313413,0.001872695,-1.456188474,0.012910035,0.040685061,-4.612890698,1.54e-08,2.7100000000000003e-07,nan,nan,nan,nan,nan,nan,nan,nan,      
Bhlhe40,6,1.0,basic helix-loop-helix family  member e40 [Source:MGI Symbol;Acc:MGI:1097714]     ,3,6.962565292000001,7.571743939,7.006641496,6.904071223,7.153277001,7.1641379689999996,5.141131065,4.516851588,4.88969852,5.279843006,5.709375142000001,5.749258026000001,2.194703555,2.06e-06,7.09e-06,3.22849265,1.31e-14,6.29e-14,nan,nan,nan,nan,nan,nan,-2.021367429,1.6800000000000002e-05,0.00012386,-3.0551565239999996,8.809999999999999e-13,2.9399999999999997e-11,nan, member e40 [Source:MGI Symbol;Acc:MGI:1097714],nan,nan,nan,nan,nan,nan,  member e40 [Source:MGI Symbol;Acc:MGI:1097714]     
Bhlhe41,6,-1.0,basic helix-loop-helix family  member e41 [Source:MGI Symbol;Acc:MGI:1930704]     ,1,0.359476136,0.35483079799999995,0.348844834,5.094384225,5.118927568999999,5.067659852,5.124358162,5.388331693,4.872835852,4.2343570669999995,4.460947078999999,5.065995828,-11.35842935,8.44e-24,9.719999999999999e-23,-12.02205409,3.6299999999999995e-28,3.39e-27,-11.95722661,4.150000000000001e-28,3.33e-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, member e41 [Source:MGI Symbol;Acc:MGI:1930704],nan,nan,nan,nan,nan,nan,  member e41 [Source:MGI Symbol;Acc:MGI:1930704]     
Brca1,11,-1.0,breast cancer 1  early onset [Source:MGI Symbol;Acc:MGI:104537]     ,3,6.878608273999999,6.249032725,6.428366473,0.663809844,0.782055763,0.733150897,2.929667864,2.137693002,0.961666802,3.5431049960000003,1.756591084,1.6500353559999998,5.040258249,3.38e-06,1.1400000000000001e-05,5.538914928,1.16e-11,4.7e-11,8.417412572,2.8199999999999996e-13,1.14e-12,nan,nan,nan,3.3771543239999997,0.013594239,0.042293103,nan,nan,nan,nan, early onset [Source:MGI Symbol;Acc:MGI:104537],nan,nan,nan,nan,nan,nan,  early onset [Source:MGI Symbol;Acc:MGI:104537]     
Cbfb,8,1.0,core binding factor beta [Source:MGI Symbol;Acc:MGI:99851]      ,5,6.1052625879999995,6.3838486329999995,6.043810859,4.180739423,4.596471865,4.408270557,5.260556233,5.875487896,5.599280402000001,6.499097247999999,5.279356329,5.544157542000001,nan,nan,nan,0.788630565,0.029963224,0.048397187,2.531859215,1.66e-09,5.35e-09,nan,nan,nan,2.191429904,1.3699999999999998e-05,0.000103324,1.74322865,0.00015807,0.001169983,nan,nan,nan,nan,nan,nan,nan,nan,      
Cdc5l,17,-1.0,cell division cycle 5-like (S. pombe) [Source:MGI Symbol;Acc:MGI:1918952]      ,3,9.220223684,8.73204575,9.171887891,7.667385341,7.610706058,7.542754932,7.562556371,7.934832023999999,7.705973362999999,7.502767916,7.737844823,7.442569695,1.983182209,1.06e-13,6.929999999999999e-13,1.734957719,2.54e-15,1.27e-14,1.916209725,2.79e-19,1.52e-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Cebpa,7,1.0,CCAAT/enhancer binding protein (C/EBP)  alpha [Source:MGI Symbol;Acc:MGI:99480]     ,6,-0.306236246,0.195192246,-0.7756919640000001,3.417845517,3.8028308789999996,2.537266932,0.236459019,0.36135609999999996,0.289044375,0.930805668,2.372133075,3.433016395,-4.7762873830000006,0.000606669,0.001530358,nan,nan,nan,-5.679858557,1.18e-05,2.78e-05,nan,nan,nan,nan,nan,nan,-4.479854786000001,0.004520093,0.02058141,nan, alpha [Source:MGI Symbol;Acc:MGI:99480],nan,nan,nan,nan,nan,nan,  alpha [Source:MGI Symbol;Acc:MGI:99480]     
Cebpb,2,1.0,CCAAT/enhancer binding protein (C/EBP)  beta [Source:MGI Symbol;Acc:MGI:88373]     ,6,0.75886787,1.364234147,0.738853123,4.4064985960000005,3.785107585,4.542284162,3.096973539,3.848836504,2.897332656,2.757082987,1.705224939,1.606647467,nan,nan,nan,-3.98564723,2.8599999999999998e-08,9.109999999999999e-08,-5.2531273,4.2400000000000004e-16,1.99e-15,nan,nan,nan,-3.265843867,0.00950635,0.031605149,nan,nan,nan,nan, beta [Source:MGI Symbol;Acc:MGI:88373],nan,nan,nan,nan,nan,nan,  beta [Source:MGI Symbol;Acc:MGI:88373]     
Cebpd,16,1.0,CCAAT/enhancer binding protein (C/EBP)  delta [Source:MGI Symbol;Acc:MGI:103573]     ,6,2.036026365,1.867606909,1.3476637269999998,4.176977591,4.343567489,4.31159103,0.923906551,1.006788685,0.958601523,4.106728884,2.9185793419999997,2.803347422,-2.58714367,0.000715697,0.00178387,nan,nan,nan,-3.646849429,5.05e-11,1.8e-10,4.332142997,0.0005006359999999999,0.002794789,nan,nan,nan,-5.391848756,4.79e-06,5.25e-05,nan, delta [Source:MGI Symbol;Acc:MGI:103573],nan,nan,nan,nan,nan,nan,  delta [Source:MGI Symbol;Acc:MGI:103573]     
Cebpz,17,-1.0,CCAAT/enhancer binding protein zeta [Source:MGI Symbol;Acc:MGI:109386]      ,3,8.313461942,8.243484468,8.437646232,7.196985206,7.358163074,7.251920132,6.961453811,7.155193818,7.135055372999999,7.015547276,6.867417225,7.105319497000001,1.7742061919999998,2.86e-12,1.6899999999999998e-11,1.6630796890000001,1.3400000000000001e-20,8.74e-20,1.409073106,4.09e-19,2.22e-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Creb1,1,1.0,cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]      ,3,7.040068145,7.318190854,7.009362697,6.7695746429999994,6.766908201000001,7.0239717829999995,6.261323318,6.1366401129999995,6.173820803,6.958064492,7.139390014,6.534294903999999,nan,nan,nan,1.2874622009999999,6.979999999999999e-07,1.99e-06,nan,nan,nan,0.976186999,0.003489355,0.014590622,nan,nan,nan,-0.9253085879999999,0.000896587,0.005271504000000001,nan,nan,nan,nan,nan,nan,nan,nan,      
Ctcf,8,1.0,CCCTC-binding factor [Source:MGI Symbol;Acc:MGI:109447]      ,3,8.02623602,7.831544714,7.809023822,7.266981961,7.236896235,7.345570058,6.156160895,6.511420814,6.402946442999999,7.2645604960000005,6.680831502999999,6.804735547000001,1.23751289,2.7e-06,9.18e-06,2.084758113,7.75e-20,4.88e-19,0.80048683,5.62e-06,1.36e-05,0.8472452229999999,0.006865426,0.025742375,nan,nan,nan,-1.284271283,1.5199999999999998e-07,2.21e-06,nan,nan,nan,nan,nan,nan,nan,nan,      
Cux1,5,-1.0,cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568]      ,5,5.2258230260000005,5.801678033,5.550892877000001,3.267858998,3.6684782460000003,3.0858347669999997,5.0786938710000005,5.195183537,5.425121034,5.270078149,4.7998685210000005,5.90950295,nan,nan,nan,nan,nan,nan,3.26664296,1.1499999999999999e-08,3.48e-08,nan,nan,nan,3.112876918,1.98e-06,1.7800000000000002e-05,2.855885518,2.55e-06,2.9199999999999998e-05,nan,nan,nan,nan,nan,nan,nan,nan,      
Cux2,5,-1.0,cut-like homeobox 2 [Source:MGI Symbol;Acc:MGI:107321]      ,4,-0.173560732,1.199807574,-0.18342413300000002,0.394882859,1.99398154,1.407473472,3.075319012,3.617958251,3.3431166310000004,3.882368946,1.386676773,3.650388586,-4.495981745,0.00021526,0.000579595,-4.4652481260000005,0.000112719,0.000255691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Cxxc1,18,1.0,CXXC finger 1 (PHD domain) [Source:MGI Symbol;Acc:MGI:1921572]      ,2,6.009773827999999,5.899239126,4.966440513,5.328947545,5.32823075,5.775282215,5.0836387610000004,4.51517117,5.082271357,4.3270623630000005,4.527986173,4.759904528,1.645991769,0.015373725,0.030273717000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Dbp,7,1.0,D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]      ,1,3.8991816989999997,3.718618846,3.192077595,5.439706778,5.856653015,5.639729,4.702205787,4.783853571,4.781140529,5.234939208,5.04783833,4.628503122,-1.998491253,0.000210014,0.000565846,-1.650903732,0.000267977,0.000580801,-2.872702266,2.4100000000000003e-13,9.8e-13,nan,nan,nan,nan,nan,nan,-1.2217985340000002,0.009535051,0.038229156,nan,nan,nan,nan,nan,nan,nan,nan,      
Ddit3,10,1.0,DNA-damage inducible transcript 3 [Source:MGI Symbol;Acc:MGI:109247]      ,4,4.370579688,5.710175287999999,5.464561566,6.117304083,5.881642254,5.470777513,7.422304531,7.471832794,7.496740383,6.992520702,7.294682923,7.67992673,-2.7747465410000003,7.2199999999999995e-09,3.19e-08,-2.910427972,2.58e-10,9.44e-10,nan,nan,nan,nan,nan,nan,2.002624453,7.01e-05,0.00044452300000000005,2.138305885,1.07e-05,0.000107895,nan,nan,nan,nan,nan,nan,nan,nan,      
Dmrtb1,4,-1.0,DMRT-like family B with proline-rich C-terminal  1 [Source:MGI Symbol;Acc:MGI:1927125]     ,7,-0.10383173,0.8972798359999999,0.08882810099999999,-0.080453757,-0.009604708,-0.04433524,2.606795184,1.306695818,3.0355148219999997,0.760201887,0.8966507570000001,2.712596482,nan,nan,nan,-3.4914688889999996,0.003171786,0.0059794290000000005,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.367053925,0.003320967,0.015990331,nan, 1 [Source:MGI Symbol;Acc:MGI:1927125],nan,nan,nan,nan,nan,nan,  1 [Source:MGI Symbol;Acc:MGI:1927125]     
E2f1,2,-1.0,E2F transcription factor 1 [Source:MGI Symbol;Acc:MGI:101941]      ,3,2.9895719730000003,3.799326968,4.611668381,1.638608818,2.26040334,2.190738446,1.01265879,2.611605465,2.005906439,3.3594502210000003,2.916201767,1.609973071,nan,nan,nan,2.9274973089999996,0.0068838319999999995,0.012371183000000001,2.86405789,0.003481712,0.006253557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
E2f2,4,1.0,E2F transcription factor 2 [Source:MGI Symbol;Acc:MGI:1096341]      ,5,2.627030359,2.647396564,2.1793092609999998,0.662919574,1.562047969,0.697385547,1.7174270580000002,2.3589172019999998,1.76960626,2.4559659,2.6289684490000003,3.1544965119999997,nan,nan,nan,nan,nan,nan,3.0125809410000004,0.009921107,0.016746635,nan,nan,nan,3.5041988589999997,0.007865381999999999,0.026906687000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
E2f4,8,1.0,E2F transcription factor 4 [Source:MGI Symbol;Acc:MGI:103012]      ,3,7.299805864,7.15911997,6.957151112999999,4.655450554,3.884047747,5.098297028,4.1077998319999995,3.0639092289999996,3.98090838,4.903201462,3.914187612,4.9904006039999995,3.1709170889999996,3.18e-08,1.33e-07,4.499757882,2.76e-16,1.46e-15,3.243917095,1.89e-16,9.019999999999999e-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
E2f5,3,1.0,E2F transcription factor 5 [Source:MGI Symbol;Acc:MGI:105091]      ,5,5.275001437,5.1887133389999995,4.916392438,4.301072952,3.842299314,3.5974965969999997,2.69692595,3.6162188360000003,3.2005166860000003,4.687432803,5.34426255,5.198163978999999,nan,nan,nan,2.868678243,1.23e-05,3.12e-05,1.644165589,0.000235438,0.000487875,2.830190845,0.000126806,0.0008420880000000001,1.6056781919999998,0.0045132259999999995,0.016922645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
E2f6,12,1.0,E2F transcription factor 6 [Source:MGI Symbol;Acc:MGI:1354159]      ,2,5.943649933,5.036995716,5.895276339,4.328212661,4.432286016,4.3483744689999995,5.428433932999999,5.784405238,5.190845922,3.745985908,5.11768653,4.3400877289999995,1.6710061440000001,0.012488328,0.024970452999999997,nan,nan,nan,1.8439294919999998,0.00018978900000000002,0.00039692300000000003,nan,nan,nan,nan,nan,nan,1.57736818,0.0028213490000000003,0.013978741000000001,nan,nan,nan,nan,nan,nan,nan,nan,      
E2f7,10,1.0,E2F transcription factor 7 [Source:MGI Symbol;Acc:MGI:1289147]      ,3,5.3273722260000005,4.276888658,5.174448849,1.158406353,0.187317103,0.144280595,0.319721515,0.45535532799999995,0.376827352,1.073757418,1.238448776,1.137031161,5.221228818,7.3e-05,0.00021020200000000002,6.49138598,4.14e-07,1.21e-06,6.2072601689999996,1.46e-06,3.72e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
E4f1,17,-1.0,E4F transcription factor 1 [Source:MGI Symbol;Acc:MGI:109530]      ,4,3.726092377,3.952029695,3.287657295,4.168337668,4.640865338999999,4.942741546000001,4.117530633,3.667222718,4.192938226,5.462328655,6.060953532999999,5.409866645,-2.780183268,9.45e-09,4.13e-08,nan,nan,nan,-1.3578482930000002,0.00285148,0.005177455,2.288437271,0.000149949,0.0009753460000000001,1.422334975,0.007025733,0.024492067000000003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Ebf1,11,1.0,early B cell factor 1 [Source:MGI Symbol;Acc:MGI:95275]      ,2,3.57863241,3.69525269,3.4783861139999996,0.855189958,0.9295655829999999,2.506675535,2.445269274,3.442842695,3.675939853,1.5467504090000002,2.899347942,1.606035551,nan,nan,nan,nan,nan,nan,3.043085097,0.0020742620000000003,0.003838539,nan,nan,nan,nan,nan,nan,2.644853672,0.010848604,0.042473098,nan,nan,nan,nan,nan,nan,nan,nan,      
Egr1,18,1.0,early growth response 1 [Source:MGI Symbol;Acc:MGI:95295]      ,6,7.824015342,6.671320661,7.352202881,9.16467069,9.589716686000001,9.50287472,6.795498597000001,7.6752897220000005,6.800332796,9.226484565,9.057675748,9.232463194,-2.398190894,2.1600000000000004e-09,1e-08,nan,nan,nan,-2.721303542,4.28e-12,1.62e-11,2.705871471,1.43e-10,2.97e-09,nan,nan,nan,-3.028984119,2.7300000000000005e-13,9.810000000000001e-12,nan,nan,nan,nan,nan,nan,nan,nan,      
Egr2,CHR_MG3530_PATCH,1.0,early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]      ,6,-0.399045349,-0.574047879,-0.66493451,3.2484663289999998,4.612810485,3.6913170969999998,0.489615904,1.7607620080000002,2.257720146,3.588567798,1.346627614,3.676759542,-8.174338709,7.68e-13,4.71e-12,nan,nan,nan,-9.112961423,1.23e-18,6.53e-18,nan,nan,nan,nan,nan,nan,-3.216467367,0.005197543,0.023167234,nan,nan,nan,nan,nan,nan,nan,nan,      
Egr2,10,1.0,early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]      ,6,-0.399045349,-0.574047879,-0.66493451,3.2484663289999998,4.612810485,3.6913170969999998,0.489615904,1.7607620080000002,2.257720146,3.588567798,1.346627614,3.676759542,-8.174338709,7.68e-13,4.71e-12,nan,nan,nan,-9.112961423,1.23e-18,6.53e-18,nan,nan,nan,nan,nan,nan,-3.216467367,0.005197543,0.023167234,nan,nan,nan,nan,nan,nan,nan,nan,      
Elf1,14,1.0,E74-like factor 1 [Source:MGI Symbol;Acc:MGI:107180]      ,5,4.471869208,5.630830593,5.554809193,3.381085578,3.9230422,3.488998267,4.15112686,3.95232962,3.605939915,6.268597862999999,5.4257057170000005,5.087413095,nan,nan,nan,1.956976871,0.002275661,0.004377741,2.4368108090000002,0.000111489,0.000239112,2.478570569,0.00036036099999999996,0.002109571,2.958404507,1.59e-05,0.000117469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Elf2,3,-1.0,E74-like factor 2 [Source:MGI Symbol;Acc:MGI:1916507]      ,2,4.007737431,4.1224039480000005,4.3019680110000005,3.484858155,3.928178482,3.458161151,2.349910751,3.300171728,3.205816818,3.1166259910000003,3.898755439,2.023748087,nan,nan,nan,1.7285715780000002,0.009098262,0.016040898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Elf3,1,-1.0,E74-like factor 3 [Source:MGI Symbol;Acc:MGI:1101781]      ,3,5.68032828,5.672433575,5.997754911,0.095596095,0.21007710300000002,0.162902973,0.34477628,0.48485421700000003,0.40375322399999997,1.123518627,1.293606198,1.188865573,6.137414511,3.89e-07,1.46e-06,7.431706485,3.06e-10,1.11e-09,7.959414644,1.0900000000000001e-11,4.0499999999999996e-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Elk1,X,-1.0,ELK1  member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101833]     ,6,3.645152556,4.17192359,3.4979107419999997,5.4751690239999995,5.147292332,5.556385843999999,3.583359606,3.756368482,3.401194616,3.909039167,2.37393877,3.4114158530000003,nan,nan,nan,nan,nan,nan,-2.188531292,2.3800000000000001e-07,6.5e-07,nan,nan,nan,-2.838458119,0.001698581,0.007341123000000001,-2.53531601,2.33e-05,0.00021736299999999999,nan, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101833],nan,nan,nan,nan,nan,nan,  member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101833]     
Elk3,10,-1.0,ELK3  member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101762]     ,5,2.36168178,2.792793585,2.045469645,1.65162992,1.798135084,1.737152618,3.100366044,3.00169407,3.174143954,1.569442644,3.60519858,4.975218802,-2.319692547,0.0036509109999999997,0.008025426,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5974026869999998,0.0009742389999999999,0.004529963,nan,nan,nan,nan, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101762],nan,nan,nan,nan,nan,nan,  member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101762]     
